Event_Name,Tweet_Timestamp,Hour,Count,Day
Halloween Party,10/25/2022 2:00,2,0,10/25/2022
Halloween Party,10/26/2022 2:00,2,0,10/26/2022
Halloween Party,10/27/2022 2:00,2,0,10/27/2022
Halloween Party,10/28/2022 2:00,2,0,10/28/2022
Halloween Party,10/29/2022 2:00,2,0,10/29/2022
ICML 2022 (Tech conference),10/19/2022 2:00,2,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 2:00,2,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 2:00,2,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 2:00,2,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 2:00,2,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 2:00,2,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 2:00,2,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 2:00,2,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 2:00,2,0,10/27/2022
ICML 2022 (Tech conference),10/28/2022 2:00,2,0,10/28/2022
Independence Day,10/19/2022 2:00,2,0,10/19/2022
Independence Day,10/20/2022 2:00,2,0,10/20/2022
Independence Day,10/21/2022 2:00,2,0,10/21/2022
Independence Day,10/22/2022 2:00,2,0,10/22/2022
Independence Day,10/23/2022 2:00,2,0,10/23/2022
Independence Day,10/24/2022 2:00,2,0,10/24/2022
Independence Day,10/25/2022 2:00,2,0,10/25/2022
Independence Day,10/26/2022 2:00,2,0,10/26/2022
Independence Day,10/27/2022 2:00,2,0,10/27/2022
Independence Day,10/28/2022 2:00,2,0,10/28/2022
Independence Day,10/29/2022 2:00,2,0,10/29/2022
Independence Day,10/30/2022 2:00,2,0,10/30/2022
Juneteenth,10/20/2022 2:00,2,0,10/20/2022
Juneteenth,10/21/2022 2:00,2,0,10/21/2022
Juneteenth,10/22/2022 2:00,2,0,10/22/2022
Juneteenth,10/23/2022 2:00,2,0,10/23/2022
Juneteenth,10/24/2022 2:00,2,0,10/24/2022
Juneteenth,10/25/2022 2:00,2,0,10/25/2022
Juneteenth,10/26/2022 2:00,2,0,10/26/2022
Juneteenth,10/27/2022 2:00,2,0,10/27/2022
Juneteenth,10/28/2022 2:00,2,0,10/28/2022
Juneteenth,10/29/2022 2:00,2,0,10/29/2022
Juneteenth,10/30/2022 2:00,2,0,10/30/2022
Labor Day,10/22/2022 2:00,2,1,10/22/2022
Mecca Madina,10/26/2022 2:00,2,0,10/26/2022
Mecca Madina,10/27/2022 2:00,2,0,10/27/2022
Mecca Madina,10/28/2022 2:00,2,0,10/28/2022
Memorial Day,10/26/2022 2:00,2,0,10/26/2022
Memorial Day,10/27/2022 2:00,2,0,10/27/2022
Memorial Day,10/28/2022 2:00,2,0,10/28/2022
Memorial Day,10/29/2022 2:00,2,0,10/29/2022
Memorial Day,10/30/2022 2:00,2,0,10/30/2022
Munich show,10/23/2022 2:00,2,1,10/23/2022
Olympics 2023,10/22/2022 2:00,2,0,10/22/2022
Olympics 2023,10/23/2022 2:00,2,0,10/23/2022
Olympics 2023,10/24/2022 2:00,2,0,10/24/2022
Olympics 2023,10/25/2022 2:00,2,0,10/25/2022
Olympics 2023,10/26/2022 2:00,2,0,10/26/2022
Olympics 2023,10/27/2022 2:00,2,0,10/27/2022
Olympics 2023,10/28/2022 2:00,2,0,10/28/2022
Olympics 2023,10/29/2022 2:00,2,0,10/29/2022
Olympics 2023,10/30/2022 2:00,2,0,10/30/2022
Olympics 2023,10/31/2022 2:00,2,0,10/31/2022
Olympics 2023,11/1/2022 2:00,2,0,11/1/2022
Skydiving,10/24/2022 2:00,2,0,10/24/2022
Skydiving,10/25/2022 2:00,2,0,10/25/2022
Skydiving,10/26/2022 2:00,2,0,10/26/2022
Skydiving,10/27/2022 2:00,2,0,10/27/2022
Skydiving,10/28/2022 2:00,2,0,10/28/2022
Strike Finland,10/31/2022 2:00,2,1,10/31/2022
T20WorldCup2022,10/23/2022 2:00,2,0,10/23/2022
T20WorldCup2022,10/24/2022 2:00,2,0,10/24/2022
T20WorldCup2022,10/25/2022 2:00,2,0,10/25/2022
Thanks Giving 2022,10/19/2022 2:00,2,0,10/19/2022
Thanks Giving 2022,10/20/2022 2:00,2,0,10/20/2022
Thanks Giving 2022,10/21/2022 2:00,2,0,10/21/2022
Thanks Giving 2022,10/22/2022 2:00,2,0,10/22/2022
Thanks Giving 2022,10/23/2022 2:00,2,0,10/23/2022
Thanks Giving 2022,10/24/2022 2:00,2,0,10/24/2022
Thanks Giving 2022,10/25/2022 2:00,2,0,10/25/2022
Thanks Giving 2022,10/26/2022 2:00,2,0,10/26/2022
Thanks Giving 2022,10/27/2022 2:00,2,0,10/27/2022
Thanks Giving 2022,10/28/2022 2:00,2,0,10/28/2022
Thanks Giving 2022,10/29/2022 2:00,2,0,10/29/2022
Thanks Giving 2022,10/30/2022 2:00,2,0,10/30/2022
Thanks Giving 2022,10/31/2022 2:00,2,0,10/31/2022
US Open,10/23/2022 2:00,2,0,10/23/2022
US Open,10/24/2022 2:00,2,0,10/24/2022
WAR campaign,10/21/2022 2:00,2,0,10/21/2022
Womens World Cup,10/19/2022 2:00,2,0,10/19/2022
Womens World Cup,10/20/2022 2:00,2,0,10/20/2022
Womens World Cup,10/21/2022 2:00,2,0,10/21/2022
