Event_Name,Tweet_Timestamp,Count
Olympics 2023,2022-10-28T00:00:00.000000000,0
Olympics 2023,2022-10-29T00:00:00.000000000,0
Olympics 2023,2022-10-30T00:00:00.000000000,0
Olympics 2023,2022-10-31T00:00:00.000000000,1
Olympics 2023,2022-11-01T00:00:00.000000000,1
PAXWest 2022,2022-10-29T00:00:00.000000000,1
Paris Strike,2022-10-30T00:00:00.000000000,1
Phoenix - Anubhav Singh Bassi Live ,2022-10-23T00:00:00.000000000,1
Platinum Jubilee Bank Holiday,2022-10-18T00:00:00.000000000,1
Polkacity Metaverse,2022-10-25T00:00:00.000000000,1
Post Malone,2022-10-18T00:00:00.000000000,1
Skydiving,2022-10-23T00:00:00.000000000,1
Skydiving,2022-10-24T00:00:00.000000000,0
Skydiving,2022-10-25T00:00:00.000000000,0
Skydiving,2022-10-26T00:00:00.000000000,1
Skydiving,2022-10-27T00:00:00.000000000,0
Skydiving,2022-10-28T00:00:00.000000000,1
Soccer Legion,2022-10-27T00:00:00.000000000,1
Standup Comedy - Jerry Seinfeld,2022-10-26T00:00:00.000000000,1
Strike Finland,2022-10-31T00:00:00.000000000,1
Study Abroad Webinar,2022-10-28T00:00:00.000000000,1
T20WorldCup2022,2022-10-22T00:00:00.000000000,1
T20WorldCup2022,2022-10-23T00:00:00.000000000,0
T20WorldCup2022,2022-10-24T00:00:00.000000000,0
T20WorldCup2022,2022-10-25T00:00:00.000000000,1
Tater Treat,2022-10-30T00:00:00.000000000,1
Thanks Giving 2022,2022-10-18T00:00:00.000000000,1
Thanks Giving 2022,2022-10-19T00:00:00.000000000,1
Thanks Giving 2022,2022-10-20T00:00:00.000000000,0
Thanks Giving 2022,2022-10-21T00:00:00.000000000,0
Thanks Giving 2022,2022-10-22T00:00:00.000000000,0
Thanks Giving 2022,2022-10-23T00:00:00.000000000,1
Thanks Giving 2022,2022-10-24T00:00:00.000000000,0
Thanks Giving 2022,2022-10-25T00:00:00.000000000,1
Thanks Giving 2022,2022-10-26T00:00:00.000000000,0
Thanks Giving 2022,2022-10-27T00:00:00.000000000,0
Thanks Giving 2022,2022-10-28T00:00:00.000000000,1
Thanks Giving 2022,2022-10-29T00:00:00.000000000,0
Thanks Giving 2022,2022-10-30T00:00:00.000000000,0
Thanks Giving 2022,2022-10-31T00:00:00.000000000,1
The Dark Side of the Void event,2022-10-22T00:00:00.000000000,1
Tokyo2020,2022-10-27T00:00:00.000000000,1
TommorowLand Concert,2022-10-25T00:00:00.000000000,1
Traffic,2022-10-22T00:00:00.000000000,1
Traffic updates,2022-10-22T00:00:00.000000000,1
US Open,2022-10-22T00:00:00.000000000,1
US Open,2022-10-23T00:00:00.000000000,1
US Open,2022-10-24T00:00:00.000000000,1
Ukrain bombed,2022-10-20T00:00:00.000000000,1
WAR campaign,2022-10-20T00:00:00.000000000,1
WAR campaign,2022-10-21T00:00:00.000000000,1
Weather forecast,2022-10-24T00:00:00.000000000,1
Weeknd Concert,2022-10-29T00:00:00.000000000,1
Wimbeldon 2022,2022-10-24T00:00:00.000000000,1
Wimbeldon 2022 Final,2022-10-28T00:00:00.000000000,1
Womens World Cup,2022-10-18T00:00:00.000000000,1
Womens World Cup,2022-10-19T00:00:00.000000000,0
Womens World Cup,2022-10-20T00:00:00.000000000,0
Womens World Cup,2022-10-21T00:00:00.000000000,0
Womens World Cup,2022-10-22T00:00:00.000000000,0
Womens World Cup,2022-10-23T00:00:00.000000000,0
Womens World Cup,2022-10-24T00:00:00.000000000,0
Womens World Cup,2022-10-25T00:00:00.000000000,0
Womens World Cup,2022-10-26T00:00:00.000000000,1
World War 3 memorial meet,2022-10-21T00:00:00.000000000,1
food day meet,2022-10-24T00:00:00.000000000,1
traffic Jam...at Akurli Road,2022-10-24T00:00:00.000000000,1
